name,gender,country,disciplines
Artur ALEKSANYAN,Male,Armenia,['Wrestling']
Malkhas AMOYAN,Male,Armenia,['Wrestling']
Slavik GALSTYAN,Male,Armenia,['Wrestling']
Arsen HARUTYUNYAN,Male,Armenia,['Wrestling']
Vazgen TEVANYAN,Male,Armenia,['Wrestling']
Lorena ARENAS,Female,Colombia,['Athletics']
Ashley McKENZIE,Male,Jamaica,['Judo']
Gina Mariam BASS BITTAYE,Female,Gambia,['Athletics']
Ebrahima CAMARA,Male,Gambia,['Athletics']
Lizeth RUEDA SANTOS,Female,Mexico,['Triathlon']
Rosa Maria TAPIA VIDAL,Female,Mexico,['Triathlon']
Crisanto GRAJALES,Male,Mexico,['Triathlon']
Hachim MAAROUFOU,Male,Comoros,['Athletics']
Maesha SAADI,Female,Comoros,['Swimming']
Nuria DIOSDADO,Female,Mexico,['Artistic Swimming']
Joana JIMENEZ,Female,Mexico,['Artistic Swimming']
Jessica SOBRINO,Female,Mexico,['Artistic Swimming']
Regina ALFEREZ,Female,Mexico,['Artistic Swimming']
Fernanda ARELLANO,Female,Mexico,['Artistic Swimming']
Pamela TOSCANO,Female,Mexico,['Artistic Swimming']
Itzamary GONZALEZ,Female,Mexico,['Artistic Swimming']
Samanta RODRIGUEZ,Female,Mexico,['Artistic Swimming']
Glenda INZUNZA,Female,Mexico,['Artistic Swimming']
Sajjad SEHEN,Male,Iraq,['Judo']
Ali Ammar Yusur RUBAIAWI,Male,Iraq,['Weightlifting']
Mohamed ISMAIL,Male,Djibouti,['Athletics']
Ibrahim HASSAN,Male,Djibouti,['Athletics']
Abdi WAISS,Male,Djibouti,['Athletics']
Samiyah HASSAN NOUR,Female,Djibouti,['Athletics']
Houmed HOUSSEIN BARKAT,Male,Djibouti,['Swimming']
Andy BARAT,Male,Comoros,['Canoe Slalom']
Miguel Angel MARTINEZ RAMIREZ,Male,Mexico,['Boxing']
Marco Alonso VERDE ALVAREZ,Male,Mexico,['Boxing']
Alegna GONZALEZ,Female,Mexico,['Athletics']
Jesus Tonatiu LOPEZ,Male,Mexico,['Athletics']
Erick PORTILLO,Male,Mexico,['Athletics']
Uziel MUNOZ,Male,Mexico,['Athletics']
Diego del REAL,Male,Mexico,['Athletics']
Jose Luis DOCTOR,Male,Mexico,['Athletics']
Paola MORAN,Female,Mexico,['Athletics']
Laura GALVAN,Female,Mexico,['Athletics']
Alma Delia CORTES,Female,Mexico,['Athletics']
Citlali CRISTIAN MOSCOTE,Female,Mexico,['Athletics']
Ever Jair PALMA OLIVARES,Male,Mexico,['Athletics']
Elena OETLING RAMIREZ,Female,Mexico,['Sailing']
Mariana AGUILAR CHAVEZ PEON,Female,Mexico,['Sailing']
Kenia LECHUGA ALANIS,Female,Mexico,['Rowing']
Alexis LOPEZ GARCIA,Male,Mexico,['Rowing']
Miguel CARBALLO NIETO,Male,Mexico,['Rowing']
Luisa BLANCO,Female,Colombia,['Artistic Gymnastics']
Randal WILLARS VALDEZ,Male,Mexico,['Diving']
Kevin BERLIN REYES,Male,Mexico,['Diving']
Alejandra OROZCO LOZA,Female,Mexico,['Diving']
Gabriela AGUNDEZ GARCIA,Female,Mexico,['Diving']
Osmar OLVERA IBARRA,Male,Mexico,['Diving']
Eugenio GARZA PEREZ,Male,Mexico,['Equestrian']
Federico FERNANDEZ,Male,Mexico,['Equestrian']
Miguel Alejandro de LARA OJEDA,Male,Mexico,['Swimming']
Alexa MORENO,Female,Mexico,['Artistic Gymnastics']
Ahtziri SANDOVAL,Female,Mexico,['Artistic Gymnastics']
Sofia FLORES,Female,Mexico,['Rhythmic Gymnastics']
Kimberly SALAZAR,Female,Mexico,['Rhythmic Gymnastics']
Adirem TEJEDA,Female,Mexico,['Rhythmic Gymnastics']
Dalia ALCOCER,Female,Mexico,['Rhythmic Gymnastics']
Julia GUTIERREZ,Female,Mexico,['Rhythmic Gymnastics']
Emiliano HERNANDEZ,Male,Mexico,['Modern Pentathlon']
Duilio CARRILLO,Male,Mexico,['Modern Pentathlon']
Mayan OLIVER,Female,Mexico,['Modern Pentathlon']
Carlos SANSORES,Male,Mexico,['Taekwondo']
Daniela Paola SOUZA,Female,Mexico,['Taekwondo']
Alan CLELAND QUINONEZ,Male,Mexico,['Surfing']
Aram GRIGORIAN,Male,UA Emirates,['Judo']
Dzhafar KOSTOEV,Male,UA Emirates,['Judo']
Magomedomar MAGOMEDOMAROV,Male,UA Emirates,['Judo']
Nugzari TATALASHVILI,Male,UA Emirates,['Judo']
Khorloodoi BISHRELT,Female,UA Emirates,['Judo']
Alexandre HOUSSEIN,Male,Djibouti,['Judo']
Safia AL SAYEGH,Female,UA Emirates,['Cycling Road']
Alejandra VALENCIA,Female,Mexico,['Archery']
Angela RUIZ,Female,Mexico,['Archery']
Matias GRANDE,Male,Mexico,['Archery']
Marcela PRIETO,Female,Mexico,['Cycling Road']
Edson Ismael RAMIREZ RAMOS,Male,Mexico,['Shooting']
Gabriela RODRIGUEZ,Female,Mexico,['Shooting']
Alejandra ZAVALA VAZQUEZ,Female,Mexico,['Shooting']
Carlos QUEZADA MARQUEZ,Male,Mexico,['Shooting']
Aram Michell PENAFLOR MOYSEN,Male,Mexico,['Triathlon']
Sofia REINOSO,Female,Mexico,['Canoe Slalom']
Beatriz BRIONES FRAGOZA,Female,Mexico,['Canoe Sprint']
Karina ALANIS MORALES,Female,Mexico,['Canoe Sprint']
Natalia LINARES,Female,Colombia,['Athletics']
Ronal LONGA,Male,Colombia,['Athletics']
Flor Denis RUIZ HURTADO,Female,Colombia,['Athletics']
Angie ORJUELA,Female,Colombia,['Athletics']
Tatiana RENTERIA RENTERIA,Female,Colombia,['Wrestling']
Angie Paola VALDES PANA,Female,Colombia,['Boxing']
Valeria ARBOLEDA MENDOZA,Female,Colombia,['Boxing']
Victor BOLANOS LOPEZ,Male,Colombia,['Sailing']
Samyar ABDOLI,Male,IR Iran,['Swimming']
Asimenye SIMWAKA,Female,Malawi,['Athletics']
Omar Abdul Aziz AL MARZOOQI,Male,UA Emirates,['Equestrian']
Franco SERRANO,Male,Argentina,['Modern Pentathlon']
KUMEL SAADI,Male,Iraq,['Football']
JOSEF AL IMAM,Male,Iraq,['Football']
MUNTADHER ABDULAMEER,Male,Iraq,['Football']
MUNTADHER MOHAMMED,Male,Iraq,['Football']
Maximilian MAEDER,Male,Singapore,['Sailing']
Ryan LO,Male,Singapore,['Sailing']
En Yi Letitia SIM,Female,Singapore,['Swimming']
Jonathan Eu Jin TAN,Male,Singapore,['Swimming']
Veronica Shanti PEREIRA,Female,Singapore,['Athletics']
ZAID TAHSEEN,Male,Iraq,['Football']
HUSSEIN AMER,Male,Iraq,['Football']
