name,gender,country,disciplines
PEDRERO Ofelia,Female,Mexico,Artistic Swimming
RADHI SHENAISHIL,Male,Iraq,Football
AFLAKIKHAMSEH Majid,Male,IR Iran,Taekwondo
YOUSEFY Mehrdad,Male,IR Iran,Taekwondo
MADDAH Minoo,Female,IR Iran,Taekwondo
LOFTUS Adriana,Female,Mexico,Artistic Swimming
FERRARA Fernando,Male,Argentina,Hockey
GULLA Alejandra,Female,Argentina,Hockey
CAPURRO Santiago,Male,Argentina,Hockey
RONCONI Mariano,Male,Argentina,Hockey
PAULON Ezequiel,Male,Argentina,Hockey
VILA Matias,Male,Argentina,Hockey
KHEIRKHAH HAJIRASOULIAN Mohammadre.,Male,IR Iran,Artistic Gymnastics
DAVIS DIAZ David,Male,Mexico,Taekwondo
MENDOZA MORA Abel,Male,Mexico,Taekwondo
VICTORIA ESPINOSA de los Alfonso,Male,Mexico,Taekwondo
MILANO Guillermo,Male,Argentina,Handball
GOMEZ CORA Santiago,Male,Argentina,Rugby Sevens
GRAVANO Leonardo,Male,Argentina,Rugby Sevens
FILIORIANU Ana Luiza,Female,Romania,Rhythmic Gymnastics
SMAILI Badr,Male,Morocco,Taekwondo
OCEGUERA ORNELAS Pavel,Male,Mexico,Artistic Gymnastics
VALENZUELA GOMEZ Maria,Female,Mexico,Artistic Gymnastics
MEZA PADILLA Jose,Male,Mexico,Artistic Gymnastics
AGUILAR ROJAS Blajaith,Female,Mexico,Rhythmic Gymnastics
FURALEV Vladislav,Male,Mexico,Rhythmic Gymnastics
UPTON Patrick Anthony Howard,Male,India,Hockey
SCHOPMAN Johanna Dorothea Maria,Female,India,Hockey
HALKETT Rhett Kennedy,Male,India,Hockey
FULTON Craig Arthur,Male,India,Hockey
FARRY Anthony James,Male,India,Hockey
THORPE Karen,Female,Great Britain,Artistic Swimming
TOMOMATSU Yumiko,Female,Great Britain,Artistic Swimming
CURRAN Orlaith,Female,Ireland,Rugby Sevens
NASKAR Arup,Male,India,Hockey
CHINNASAMY Ashok Kumar,Male,India,Hockey
BUSNARI Alberto,Male,Italy,Artistic Gymnastics
